Currency,Date,ClosingPrice,24hOpen,24hHigh,24hLow
TRX,10/18/2018,0.023700887,0.023998109,0.024680662,0.023487262
TRX,10/19/2018,0.023888571,0.023700887,0.02400409,0.023333754
TRX,10/20/2018,0.023889795,0.023839431,0.02410205,0.023658262
TRX,10/21/2018,0.023832846,0.023817835,0.02434047,0.023782244
TRX,10/22/2018,0.023556909,0.023832852,0.023942725,0.023367687
TRX,10/23/2018,0.023182012,0.023526725,0.023599207,0.022719136
TRX,10/24/2018,0.023210741,0.023183425,0.023562701,0.023070049
TRX,10/25/2018,0.022959493,0.023196843,0.023220755,0.022720141
TRX,10/26/2018,0.023292086,0.022958241,0.023505831,0.022623053
TRX,10/27/2018,0.023216143,0.023336667,0.023511582,0.023038172
TRX,10/28/2018,0.023300467,0.02322569,0.023361349,0.023120142
TRX,10/29/2018,0.021886657,0.023333272,0.023405587,0.021296681
TRX,10/30/2018,0.022029237,0.021892556,0.022198616,0.02181264
TRX,10/31/2018,0.022199275,0.022019896,0.022546221,0.021257976
TRX,11/1/2018,0.022224531,0.022195748,0.022305937,0.021932748
TRX,11/2/2018,0.022696823,0.022199311,0.02294464,0.022199124
TRX,11/3/2018,0.022416921,0.022699825,0.02271286,0.022274501
TRX,11/4/2018,0.023273778,0.022415959,0.023740807,0.022069181
TRX,11/5/2018,0.023324265,0.02327371,0.023689127,0.02305291
TRX,11/6/2018,0.024392598,0.02343081,0.024601843,0.023327664
TRX,11/7/2018,0.023885254,0.024392366,0.024843711,0.023651937
TRX,11/8/2018,0.023180944,0.023943625,0.024025785,0.023107608
TRX,11/9/2018,0.022906431,0.023121665,0.023409908,0.022743478
TRX,11/10/2018,0.022909546,0.022897355,0.023172203,0.022656753
TRX,11/11/2018,0.022589699,0.022887741,0.022949304,0.022490418
TRX,11/12/2018,0.022364058,0.02258975,0.022935181,0.022083219
TRX,11/13/2018,0.022196869,0.022358685,0.0225179,0.022090347
TRX,11/14/2018,0.0194197,0.022196584,0.022314127,0.018559845
TRX,11/15/2018,0.018960619,0.019411194,0.020033771,0.017589457
TRX,11/16/2018,0.018599699,0.019189948,0.019610504,0.018446664
TRX,11/17/2018,0.018623643,0.018747166,0.018832632,0.018345054
TRX,11/18/2018,0.018655171,0.01863628,0.019067916,0.018495684
TRX,11/19/2018,0.015505543,0.018648624,0.01885944,0.015353863
TRX,11/20/2018,0.013534047,0.015506632,0.016181441,0.012237278
TRX,11/21/2018,0.014240867,0.013694784,0.014911941,0.013244462
TRX,11/22/2018,0.014199774,0.014234834,0.014724988,0.013876569
TRX,11/23/2018,0.013689262,0.014215505,0.014217821,0.012942535
TRX,11/24/2018,0.012097063,0.013686483,0.013906391,0.011833022
TRX,11/25/2018,0.01214785,0.012289602,0.012611403,0.010655937
TRX,11/26/2018,0.011291692,0.01214837,0.01275846,0.010937817
TRX,11/27/2018,0.011842519,0.011291992,0.011930257,0.011062859
TRX,11/28/2018,0.014368775,0.011842288,0.015678059,0.011694347
TRX,11/29/2018,0.015489737,0.014361683,0.016866767,0.014101948
TRX,11/30/2018,0.014177169,0.015588637,0.015680037,0.013400354
TRX,12/1/2018,0.015130679,0.014177934,0.015465531,0.013788816
TRX,12/2/2018,0.01485852,0.015130678,0.015404472,0.014549204
TRX,12/3/2018,0.013779516,0.014858083,0.014938814,0.013377953
TRX,12/4/2018,0.014279242,0.01376733,0.015228567,0.013313838
TRX,12/5/2018,0.013881114,0.01427962,0.014635304,0.01380922
TRX,12/6/2018,0.013165467,0.013788389,0.0143663,0.013027215
TRX,12/7/2018,0.013238936,0.013163411,0.013345092,0.011977794
TRX,12/8/2018,0.013435595,0.013241184,0.013833322,0.012644642
TRX,12/9/2018,0.013286143,0.013445384,0.013895999,0.012954
TRX,12/10/2018,0.013123929,0.013288677,0.013596815,0.012773623
TRX,12/11/2018,0.013225739,0.013059881,0.013458875,0.012898084
TRX,12/12/2018,0.01324826,0.013225172,0.01352345,0.01299978
TRX,12/13/2018,0.012883858,0.013177104,0.013401395,0.012828064
TRX,12/14/2018,0.012701154,0.012882692,0.013094055,0.012399584
TRX,12/15/2018,0.012655311,0.012701281,0.01284439,0.012417981
TRX,12/16/2018,0.012859369,0.012630312,0.013241965,0.012566219
TRX,12/17/2018,0.014005701,0.012857873,0.014566417,0.01279377
TRX,12/18/2018,0.014306748,0.014006909,0.014517287,0.013815947
TRX,12/19/2018,0.015819243,0.014804513,0.01751118,0.01470251
TRX,12/20/2018,0.017128838,0.015819456,0.017418208,0.01520791
TRX,12/21/2018,0.019790169,0.017126591,0.022560606,0.016851751
TRX,12/22/2018,0.020534461,0.019784888,0.021251832,0.018311499
TRX,12/23/2018,0.020784417,0.020534461,0.021924929,0.020122466
TRX,12/24/2018,0.021109533,0.020673161,0.023539228,0.020173921
TRX,12/25/2018,0.019498306,0.020787909,0.020869173,0.018357051
TRX,12/26/2018,0.020214562,0.019513404,0.020811059,0.019177931
TRX,12/27/2018,0.018351942,0.020205828,0.020368555,0.018165695
TRX,12/28/2018,0.020399967,0.018348332,0.02078428,0.017741743
TRX,12/29/2018,0.019552922,0.020530382,0.020851687,0.019445948
TRX,12/30/2018,0.019729753,0.019552922,0.020212538,0.019194437
TRX,12/31/2018,0.018820597,0.018740895,0.018827597,0.018740823
TRX,1/1/2019,0.019103748,0.01872906,0.019529257,0.018575051
TRX,1/2/2019,0.019956624,0.019103748,0.019972413,0.018972759
TRX,1/3/2019,0.020174223,0.019956624,0.020641848,0.019411373
TRX,1/4/2019,0.021175188,0.019834135,0.021943602,0.019584585
TRX,1/5/2019,0.022148106,0.021175188,0.023462862,0.021102095
TRX,1/6/2019,0.022524116,0.022149452,0.023212901,0.021616133
TRX,1/7/2019,0.023151463,0.0227009,0.02403259,0.022458043
TRX,1/8/2019,0.026218592,0.02315163,0.026727382,0.022977384
TRX,1/9/2019,0.028453999,0.026050688,0.029570803,0.025406176
TRX,1/10/2019,0.026193061,0.028453968,0.034617286,0.023896333
TRX,1/11/2019,0.024691342,0.026171385,0.027740965,0.024467378
TRX,1/12/2019,0.023337517,0.024708054,0.025045672,0.022726644
TRX,1/13/2019,0.020978683,0.023212022,0.023450774,0.02073835
TRX,1/14/2019,0.024868136,0.020979515,0.025104094,0.020817988
TRX,1/15/2019,0.024387625,0.024881518,0.026390897,0.023456637
TRX,1/16/2019,0.025039996,0.024387759,0.025114375,0.023768515
TRX,1/17/2019,0.025080135,0.024923563,0.025879643,0.023838034
TRX,1/18/2019,0.024679472,0.025062068,0.02545683,0.024441632
TRX,1/19/2019,0.024390379,0.02467922,0.024923031,0.023384367
TRX,1/20/2019,0.023725333,0.024268131,0.024529108,0.022980205
TRX,1/21/2019,0.025023003,0.023736469,0.025549128,0.023320502
TRX,1/22/2019,0.02626913,0.025024545,0.026697648,0.024804351
TRX,1/23/2019,0.026493924,0.026178604,0.027158243,0.025689715
TRX,1/24/2019,0.026687247,0.026362418,0.027022987,0.025978745
TRX,1/25/2019,0.026417482,0.026702896,0.026769282,0.026239704
TRX,1/26/2019,0.02843643,0.026411389,0.028810046,0.026337046
TRX,1/27/2019,0.029103516,0.028436531,0.030426331,0.027951722
TRX,1/28/2019,0.026609531,0.029103771,0.029134804,0.024937186
